,timesteps,ep_reward,num_updates,episodes
82,200,-2.1999996876029777,0,82
83,200,-2.680007326324559,0,83
84,200,-2.9200030538220028,0,84
85,115,-1.8000032051813095,0,85
86,131,-1.8399998483864322,0,86
87,200,-3.8400105302723406,0,87
88,151,-3.0800026736594925,0,88
89,101,-2.000003509874985,0,89
90,32,-0.9199995422369702,0,90
91,200,-2.3600069450141943,0,91
92,200,-2.19999984964372,0,92
93,37,-1.0800000905995364,0,93
94,147,-3.1199991641254594,1,94
95,200,-1.1999998501675886,0,95
96,200,-1.8400033594795984,0,96
97,75,-1.3999996973314748,0,97
98,200,-1.5199995449081343,0,98
99,161,-1.880003511187315,0,99
100,35,-0.9199996948248246,0,100
101,200,-1.760003359521508,0,101
102,99,-0.9199998482056594,0,102
103,200,-1.399999850062815,0,103
104,87,-0.3200000008144297,0,104
105,200,-1.2799998501256789,0,105
106,32,-0.7199999904637171,0,106
107,65,-0.8399996949891981,0,107
108,112,-1.5199996956178425,0,108
109,59,-0.44000000016483204,1,109
110,32,-0.7199998474126423,0,110
111,88,-0.40000000079347486,0,111
112,200,-0.7600000029439989,0,112
113,200,-0.7200000029649539,0,113
114,97,-0.9599996861020538,0,114
115,200,-0.9999998502723627,0,115
116,60,-0.6399998475351054,0,116
117,64,-0.879999694947289,0,117
118,200,-0.6000000030278178,0,118
119,28,-0.4800000000004595,0,119
120,97,-0.7200000008144317,0,120
121,200,-1.0000036650114643,0,121
122,200,-0.48000000309067403,0,122
123,200,-0.680000002985908,0,123
124,200,-0.7199998504190456,1,124
125,200,-0.5599996979569558,0,125
126,200,-0.5200000030697269,0,126
127,200,-0.16000000325831576,0,127
128,26,-0.4799998474126417,0,128
129,200,-0.4399998505657199,0,129
130,200,-0.16000000325831648,0,130
131,200,-0.3600000031535384,0,131
132,200,-0.44000000311162846,0,132
133,59,-0.5999998499612015,0,133
134,56,-0.3200000001648324,0,134
135,200,-0.8399995452643654,0,135
136,200,-0.2000000032373614,1,136
137,200,-0.040000003321179485,0,137
138,200,-0.08000000330022343,0,138
139,200,-0.08000000330022358,0,139
140,200,-0.1600000032583163,0,140
141,200,-0.08000000330022342,0,141
142,200,-0.47999969799885683,0,142
143,200,-0.12000000327926877,0,143
144,200,-0.04000000332117949,0,144
145,200,-0.08000000330022344,0,145
146,200,-0.12000000327926878,1,146
147,200,-3.3421340805811654e-09,0,147
148,200,-3.3421340805811654e-09,0,148
149,200,-0.08000000330022346,0,149
150,200,-3.3421340805811654e-09,0,150
151,200,-0.040000003321179485,0,151
152,200,-0.04000000332117948,0,152
153,200,-0.12000000327926878,0,153
154,200,-0.08000000330022347,0,154
155,200,-3.3421340805811654e-09,0,155
156,200,-0.040000003321179485,1,156
157,200,-3.3421340805811654e-09,0,157
158,200,-3.3421340805811654e-09,0,158
159,200,-0.040000003321179485,0,159
160,200,-3.3421340805811654e-09,0,160
161,200,-3.3421340805811654e-09,0,161
162,200,-3.3421340805811654e-09,0,162
163,200,-0.04000000332117949,0,163
164,200,-3.3421340805811654e-09,0,164
165,200,-3.3421340805811654e-09,0,165
166,200,-3.3421340805811654e-09,1,166
167,200,-3.3421340805811654e-09,0,167
168,200,-3.3421340805811654e-09,0,168
169,200,-3.3421340805811654e-09,0,169
170,200,-3.3421340805811654e-09,0,170
171,200,-3.3421340805811654e-09,0,171
172,200,-3.3421340805811654e-09,0,172
173,200,-3.3421340805811654e-09,0,173
174,200,-3.3421340805811654e-09,0,174
175,200,-3.3421340805811654e-09,0,175
176,200,-3.3421340805811654e-09,1,176
177,200,-3.3421340805811654e-09,0,177
178,200,-3.3421340805811654e-09,0,178
179,200,-3.3421340805811654e-09,0,179
180,200,-3.3421340805811654e-09,0,180
181,200,-3.3421340805811654e-09,0,181
182,200,-3.3421340805811654e-09,0,182
183,200,-3.3421340805811654e-09,0,183
184,200,-3.3421340805811654e-09,0,184
185,200,-3.3421340805811654e-09,0,185
186,200,-3.3421340805811654e-09,1,186
